1. Houston (AAC, 29-2)
2. Alabama (SEC, 27-5)
3. UCLA (Pac-12, 29-5)
4. Kansas (Big 12, 26-6)
5. Purdue (Big Ten, 26-5)
6. Texas (Big 12, 25-8)
7. Gonzaga (WCC, 28-5)
8. Arizona (Pac-12, 28-6)
9. Connecticut (Big East, 24-7)
10. Marquette (Big East, 26-6)
11. Tennessee (SEC, 23-9)
12. Baylor (Big 12, 22-10)
13. Saint Mary's (CA) (WCC, 26-7)
14. Xavier (Big East, 25-8)
15. San Diego State (MWC, 26-6)
16. Kansas State (Big 12, 23-9)
17. Virginia (ACC, 25-6)
18. Texas A&M (SEC, 24-8)
19. Duke (ACC, 25-8)
20. Indiana (Big Ten, 22-10)
21. Utah State (MWC, 25-7)
22. Creighton (Big East, 21-12)
23. Miami (FL) (ACC, 25-7)
24. Iowa State (Big 12, 19-12)
25. TCU (Big 12, 21-12)
26. Kentucky (SEC, 21-11)
27. Michigan State (Big Ten, 19-11)
28. West Virginia (Big 12, 19-14)
29. Boise State (MWC, 24-8)
30. Arkansas (SEC, 20-13)
31. Florida Atlantic (CUSA, 29-3)
32. Maryland (Big Ten, 21-12)
33. Memphis (AAC, 23-8)
34. Auburn (SEC, 20-12)
35. Missouri (SEC, 23-8)
36. Northwestern (Big Ten, 21-10)
37. Southern California (Pac-12, 22-10)
38. Illinois (Big Ten, 20-12)
39. Iowa (Big Ten, 19-13)
40. Rutgers (Big Ten, 19-13)
41. Oregon (Pac-12, 19-14)
42. Oklahoma State (Big 12, 18-15)
43. Penn State (Big Ten, 20-12)
44. Nevada (MWC, 22-10)
45. North Texas (CUSA, 26-6)
46. NC State (ACC, 23-10)
47. North Carolina (ACC, 20-13)
48. Providence (Big East, 21-11)
49. Mississippi State (SEC, 21-12)
50. Arizona State (Pac-12, 22-12)
51. New Mexico (MWC, 22-11)
52. Clemson (ACC, 23-10)
53. Michigan (Big Ten, 17-15)
54. Cincinnati (AAC, 20-11)
55. Oklahoma (Big 12, 15-17)
56. Wisconsin (Big Ten, 17-14)
57. Santa Clara (WCC, 23-9)
58. Virginia Commonwealth (A-10, 25-7)
59. Ohio State (Big Ten, 15-18)
60. Oral Roberts (Summit, 30-4)
61. Vanderbilt (SEC, 20-13)
62. Villanova (Big East, 17-15)
63. Texas Tech (Big 12, 16-16)
64. Central Florida (AAC, 18-13)
65. Colorado (Pac-12, 17-16)
66. Pittsburgh (ACC, 22-11)
67. Seton Hall (Big East, 17-15)
68. Florida (SEC, 16-16)
69. UAB (CUSA, 24-9)
70. Washington State (Pac-12, 17-16)
71. College of Charleston (CAA, 31-3)
72. Sam Houston State (WAC, 25-7)
73. Drake (MVC, 27-7)
74. Brigham Young (WCC, 19-15)
75. Virginia Tech (ACC, 19-14)
76. Liberty (A-Sun, 26-8)
77. Utah (Pac-12, 17-15)
78. Kent State (MAC, 26-6)
79. Dayton (A-10, 21-11)
80. Iona (MAAC, 27-7)
81. Utah Valley (WAC, 25-8)
82. St. John's (NY) (Big East, 18-15)
83. Bradley (MVC, 25-9)
84. Nevada-Las Vegas (MWC, 19-13)
