,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,30,13,17,.433,-2.51,1.18,,5,11,,9,5,,4,8,,2249,2133,,70.9,104.9,.318,.341,.543,49.1,58.0,12.3,7.0,.510,15.5,28.6,.230
2,Air Force,32,14,18,.438,2.60,2.72,,5,13,,10,9,,4,9,,2142,2146,,63.6,104.0,.312,.448,.570,47.7,64.9,8.9,11.0,.542,17.2,22.3,.226
3,Akron,32,22,10,.688,4.62,-1.22,,13,5,,15,1,,5,6,,2390,2130,,67.0,110.6,.339,.447,.558,52.2,52.9,9.1,7.0,.524,14.1,30.1,.249
4,Alabama,32,27,5,.844,23.53,10.01,,16,2,,15,0,,9,3,,2640,2205,,72.9,110.6,.373,.476,.563,54.2,54.3,8.2,11.3,.527,16.1,33.3,.271
5,Alabama A&M,32,15,17,.469,-10.38,-7.31,,10,8,,9,8,,5,8,,2236,2266,,70.0,99.1,.341,.323,.530,47.7,50.8,11.4,12.2,.504,18.5,29.5,.224
6,Alabama State,31,8,23,.258,-15.97,-5.94,,6,12,,5,5,,2,18,,1963,2252,,68.6,92.0,.321,.332,.468,48.5,45.2,8.5,9.1,.426,16.5,32.4,.226
7,Albany (NY),31,8,23,.258,-14.37,-4.55,,3,13,,5,6,,2,16,,2086,2332,,67.9,98.8,.313,.413,.517,49.8,50.0,8.4,4.5,.481,17.0,28.8,.226
8,Alcorn State,31,18,13,.581,-8.40,-5.88,,15,3,,7,2,,10,9,,2112,2190,,68.0,98.6,.351,.297,.499,50.2,41.6,11.6,7.8,.455,15.7,33.5,.254
9,American,32,17,15,.531,-8.24,-7.71,,7,11,,8,6,,9,9,,2093,2110,,62.6,102.9,.279,.361,.567,51.0,55.5,11.7,11.4,.544,19.5,28.3,.196
10,Appalachian State,32,16,16,.500,-1.29,-0.77,,9,9,,10,7,,6,7,,2248,2067,,67.3,103.6,.293,.392,.532,49.8,50.9,9.4,12.8,.507,14.3,25.8,.198
11,Arizona,34,28,6,.824,20.00,8.83,,14,6,,15,2,,6,4,,2811,2431,,72.9,113.4,.365,.380,.595,54.3,65.3,8.4,8.3,.568,16.1,31.1,.259
12,Arizona State,34,22,12,.647,11.03,8.41,,11,9,,10,5,,7,6,,2391,2302,,69.2,100.6,.308,.395,.507,48.7,56.9,10.4,13.2,.475,14.6,29.6,.212
