,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Houston,AAC,,1,29,2,76.0,56.5,19.52,,4.44,,5.75,18.08,23.84,93.21,57.38,35.83
2,Alabama,SEC,,4,27,5,82.5,68.9,13.59,,10.01,,17.25,6.28,23.53,94.40,60.79,33.61
3,UCLA,Pac-12,,2,29,5,73.9,60.3,13.62,,8.99,,7.44,15.17,22.60,97.71,64.37,33.34
4,Tennessee,SEC,,17,23,9,71.8,57.4,14.44,,8.15,,5.23,16.68,21.91,91.74,57.94,33.81
5,Texas,Big 12,,7,25,8,77.9,67.8,10.15,,10.87,,11.91,9.40,21.31,94.82,64.09,30.74
6,Connecticut,Big East,,11,24,7,79.0,65.1,13.97,,7.45,,10.60,10.28,20.88,92.57,62.22,30.36
7,Gonzaga,WCC,,9,28,5,87.5,72.9,14.61,,7.54,,17.89,2.27,20.16,106.18,76.89,29.30
8,Arizona,Pac-12,,8,28,6,82.7,71.5,11.18,,8.83,,17.89,2.11,20.00,102.27,74.00,28.27
9,Kansas,Big 12,,3,26,6,75.7,68.0,7.66,,12.81,,10.83,8.99,19.81,90.74,61.35,29.39
10,Purdue,Big Ten,,5,26,5,73.2,62.5,10.68,,8.94,,7.37,12.18,19.55,93.01,63.30,29.71
11,Saint Mary's (CA),WCC,,16,26,7,71.4,60.1,11.24,,7.15,,1.70,16.42,18.12,96.07,67.73,28.34
12,Baylor,Big 12,,10,22,10,77.2,70.3,6.91,,11.18,,12.45,5.63,18.08,101.83,75.33,26.51
13,Creighton,Big East,,24,21,12,76.6,68.5,8.15,,9.54,,9.50,8.20,17.69,96.91,70.11,26.80
14,Marquette,Big East,,6,26,6,80.7,71.3,9.44,,7.93,,12.87,4.41,17.28,92.76,67.59,25.17
15,Arkansas,SEC,,,20,13,74.4,67.4,7.03,,9.61,,8.90,7.74,16.64,93.40,68.62,24.78
16,Iowa State,Big 12,,,19,12,68.8,62.5,6.29,,10.84,,1.64,14.89,16.53,87.70,62.27,25.43
