,,,FIRST FOUR,,,
SOUTH 11,,WEST 11,,MIDWEST 16,,EAST 16
Penn State,,Nevada,,HOWARD,,SOUTHEAST MISSOURI STATE
NC State,,North Texas,,TEXAS SOUTHERN,,FAIRLEIGH DICKINSON
,,,,,,
,,,BRACKET,,,
EAST,,MIDWEST,,SOUTH,,WEST
HOUSTON,,ALABAMA,,UCLA,,Kansas
EAST 16,,MIDWEST 16,,TEXAS A&M-CORPUS CHRISTI,,NORTHERN KENTUCKY
,,,,,,
Maryland,,FLORIDA ATLANTIC,,Arkansas,,Boise State
Memphis,,Auburn,,Missouri,,Northwestern
,,,,,,
Virginia,,Texas A&M,,DUKE,,Indiana
DRAKE,,COLLEGE OF CHARLESTON,,ORAL ROBERTS,,VIRGINIA COMMONWEALTH
,,,,,,
Kansas State,,SAN DIEGO STATE,,Xavier,,Saint Mary's (CA)
KENT STATE,,IONA,,LOUISIANA,,FURMAN
,,,,,,
Iowa State,,Miami (FL),,Creighton,,Utah State
Oregon,,Oklahoma State,,SOUTH 11,,WEST 11
,,,,,,
Connecticut,,MARQUETTE,,Tennessee,,Baylor
PRINCETON,,MONTANA STATE,,GRAND CANYON,,UC SANTA BARBARA
,,,,,,
TCU,,Kentucky,,Michigan State,,West Virginia
Rutgers,,Iowa,,Illinois,,Southern California
,,,,,,
ARIZONA,,GONZAGA,,TEXAS,,PURDUE
COLGATE,,KENNESAW STATE,,VERMONT,,UNC ASHEVILLE
,,,,,,
