,,,FIRST FOUR,,,
SOUTH 11,,WEST 11,,MIDWEST 16,,EAST 16
Penn State +,,Nevada ∇1,,HOWARD +,,SOUTHEAST MISSOURI STATE +
NC State ,,North Texas +,,TEXAS SOUTHERN +,,FAIRLEIGH DICKINSON 
,,,,,,
,,,BRACKET,,,
EAST,,MIDWEST,,SOUTH,,WEST
HOUSTON ,,ALABAMA ,,UCLA ,,Kansas 
First Four,,First Four,,TEXAS A&M-CORPUS CHRISTI ,,NORTHERN KENTUCKY +
,,,,,,
Maryland ∇2,,FLORIDA ATLANTIC ,,Arkansas ∇2,,Boise State ∇1
Memphis ,,Auburn Δ1,,Missouri Δ2,,Northwestern Δ2
,,,,,,
Virginia ,,Texas A&M Δ2,,DUKE Δ2,,Indiana 
DRAKE +,,COLLEGE OF CHARLESTON ,,ORAL ROBERTS ,,VIRGINIA COMMONWEALTH 
,,,,,,
Kansas State ,,SAN DIEGO STATE ,,Xavier ,,Saint Mary's (CA) 
KENT STATE ,,IONA ,,LOUISIANA +,,FURMAN Δ1
,,,,,,
Iowa State Δ3,,Miami (FL) ,,Creighton ∇1,,Utah State Δ1
Oregon +,,Oklahoma State +,,First Four,,First Four
,,,,,,
Connecticut ,,MARQUETTE ,,Tennessee ∇1,,Baylor 
PRINCETON +,,MONTANA STATE Δ1,,GRAND CANYON +,,UC SANTA BARBARA +
,,,,,,
TCU ∇2,,Kentucky ∇1,,Michigan State Δ1,,West Virginia Δ1
Rutgers ,,Iowa ∇1,,Illinois ,,Southern California ∇2
,,,,,,
ARIZONA ,,GONZAGA ,,TEXAS Δ1,,PURDUE 
COLGATE ,,KENNESAW STATE +,,VERMONT ,,UNC ASHEVILLE Δ1
,,,,,,
LAST FOUR BYES,,LAST FOUR IN,,FIRST FOUR OUT,,NEXT FOUR OUT
Iowa,,Penn State,,North Carolina,,New Mexico
Rutgers,,Nevada,,Providence,,Clemson
Oregon,,North Texas,,Mississippi State,,Michigan
Oklahoma State,,NC State,,Arizona State,,Cincinnati
