seed,name
1,HOUSTON
1,ALABAMA
1,UCLA
1,Kansas
2,PURDUE
2,TEXAS
2,GONZAGA
2,ARIZONA
3,Connecticut
3,MARQUETTE
3,Tennessee
3,Baylor
4,Saint Mary's (CA)
4,Xavier
4,SAN DIEGO STATE
4,Kansas State
5,Virginia
5,Texas A&M
5,DUKE
5,Indiana
6,Utah State
6,Creighton
6,Miami (FL)
6,Iowa State
7,TCU
7,Kentucky
7,Michigan State
7,West Virginia
8,Boise State
8,Arkansas
8,FLORIDA ATLANTIC
8,Maryland
9,Memphis
9,Auburn
9,Missouri
9,Northwestern
10,Southern California
10,Illinois
10,Iowa
10,Rutgers
11,Oregon
11,Oklahoma State
11,Penn State
11,Nevada
11,North Texas
11,NC State
12,VIRGINIA COMMONWEALTH
12,ORAL ROBERTS
12,COLLEGE OF CHARLESTON
12,DRAKE
13,KENT STATE
13,IONA
13,LOUISIANA
13,FURMAN
14,UC SANTA BARBARA
14,GRAND CANYON
14,MONTANA STATE
14,PRINCETON
15,COLGATE
15,KENNESAW STATE
15,VERMONT
15,UNC ASHEVILLE
16,NORTHERN KENTUCKY
16,TEXAS A&M-CORPUS CHRISTI
16,HOWARD
16,SOUTHEAST MISSOURI STATE
16,FAIRLEIGH DICKINSON
16,TEXAS SOUTHERN
