,,,FIRST FOUR,,,
WEST 12,,MIDWEST 12,,MIDWEST 16,,EAST 16
Wyoming,,Virginia Tech,,NICHOLLS STATE,,WRIGHT STATE
Notre Dame,,Xavier,,BRYANT,,TEXAS SOUTHERN
,,,,,,
,,,BRACKET,,,
EAST,,MIDWEST,,SOUTH,,WEST
GONZAGA,,ARIZONA,,BAYLOR,,Kansas
EAST 16,,MIDWEST 16,,NORFOLK STATE,,GEORGIA STATE
,,,,,,
Michigan State,,Seton Hall,,Boise State,,San Francisco
TCU,,Ohio State,,Memphis,,MURRAY STATE
,,,,,,
Arkansas,,Iowa,,Saint Mary's (CA),,Connecticut
SOUTH DAKOTA STATE,,MIDWEST 12,,DAVIDSON,,WEST 12
,,,,,,
Providence,,Wisconsin,,Illinois,,Texas Tech
NEW MEXICO STATE,,CHATTANOOGA,,TOLEDO,,VERMONT
,,,,,,
COLORADO STATE,,Southern California,,Louisiana State,,Texas
Southern Methodist,,Marquette,,Indiana,,NORTH TEXAS
,,,,,,
PURDUE,,DUKE,,UCLA,,HOUSTON
LONGWOOD,,UC IRVINE,,PRINCETON,,IONA
,,,,,,
Alabama,,North Carolina,,San Diego State,,LOYOLA (IL)
Wake Forest,,Oklahoma,,Iowa State,,Michigan
,,,,,,
Tennessee,,VILLANOVA,,Kentucky,,AUBURN
MONTANA STATE,,JACKSONVILLE STATE,,DELAWARE,,COLGATE
,,,,,,
